,Customer_ID,Credit_Utilization_Ratio,Outstanding_Debt,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Mortgage Loan,Home Equity Loan,Auto Loan,Student Loan,Personal Loan,Payday Loan,Debt Consolidation Loan,Credit-Builder Loan,Occupation,Age,Annual_Income
0,CUS_0x1000,32.243506833333335,1562.91,27.0,2.0,62.416666666666664,25.0,0,1,0,0,0,0,0,1,Lawyer,18.0,30625.94
1,CUS_0x1009,31.301837321666667,202.67999999999998,17.0,4.0,7.166666666666667,57.0,0,1,0,0,0,1,0,1,Mechanic,26.0,52312.68
2,CUS_0x100b,35.52459067583333,1030.2,1.0,0.0,13.25,7.333333333333333,0,0,0,0,0,0,0,0,MediaManager,19.0,113781.39
3,CUS_0x1011,29.028371135833336,473.14000000000004,17.0,3.0,27.416666666666668,14.4,0,0,0,1,0,0,1,1,Doctor,44.0,58918.47
4,CUS_0x1013,32.837787159166666,1233.51,6.0,3.0,12.333333333333334,8.727272727272727,0,0,0,1,1,0,1,0,Mechanic,44.0,98620.98
5,CUS_0x1015,34.58872384916667,340.22,16.0,0.0,8.666666666666666,51.90909090909091,0,0,0,0,0,0,0,0,Journalist,28.0,46951.02
6,CUS_0x1018,27.95462695,2773.09,23.0,8.0,23.833333333333332,21.636363636363637,0,1,0,1,1,1,0,1,Accountant,16.0,61194.81
7,CUS_0x1026,36.52585149833333,849.69,9.0,2.0,-0.75,2.3333333333333335,0,0,1,0,0,1,0,0,Manager,52.0,170614.28
8,CUS_0x102d,32.758532645833334,648.36,1.0,1.0,4.916666666666667,5.090909090909091,1,0,0,0,0,0,0,0,Entrepreneur,31.0,89064.52
9,CUS_0x102e,34.53450751333333,869.59,11.0,4.0,12.083333333333334,10.0,1,1,0,0,0,0,0,0,Scientist,26.0,50807.44
10,CUS_0x1032,30.758372802500002,1852.86,17.0,4.0,23.0,9.1,0,1,0,1,0,1,0,0,Lawyer,40.0,60410.94
11,CUS_0x1037,32.984986299999996,665.82,2.0,4.0,11.166666666666666,53.833333333333336,1,0,1,0,0,0,0,1,Accountant,45.0,15989.085
12,CUS_0x1038,33.31522543166667,568.21,10.0,3.0,24.833333333333332,13.333333333333334,0,1,0,0,0,1,0,0,Architect,28.0,129473.16
13,CUS_0x103e,33.62185139166667,706.96,9.0,1.0,6.166666666666667,17.4,0,0,0,1,0,0,0,0,Scientist,41.0,98690.8
14,CUS_0x1041,32.050645493333334,4913.15,30.0,9.0,49.25,16.916666666666668,1,1,0,1,0,1,0,0,Teacher,15.0,8978.11
15,CUS_0x1044,31.07790175166667,154.96,1.0,0.0,1.9166666666666667,3.9166666666666665,0,0,0,0,0,0,0,0,Entrepreneur,44.0,33441.59
16,CUS_0x1048,31.292831773333333,1835.67,26.0,7.0,9.25,7.833333333333333,0,1,0,0,1,1,1,0,Accountant,27.0,42387.54
17,CUS_0x104a,31.999673839166665,1122.46,5.0,4.0,0.8333333333333334,6.0,1,0,1,0,0,1,0,0,Mechanic,37.0,14981.39
18,CUS_0x104e,31.0584282975,1127.57,18.0,4.0,5.416666666666667,17.0,0,0,1,0,0,1,1,0,Teacher,51.0,19180.87
19,CUS_0x104f,31.38403934833333,177.98,14.0,6.0,29.833333333333332,19.09090909090909,0,0,1,1,1,1,0,0,Architect,20.0,11336.835
20,CUS_0x1051,31.895454132499996,1000.44,4.0,1.0,5.5,11.0,0,0,0,1,0,0,0,0,Engineer,42.0,35022.22
21,CUS_0x1056,34.43877950583333,2107.76,24.0,5.0,25.5,15.636363636363637,0,0,0,1,1,0,1,0,Entrepreneur,45.0,16053.86
22,CUS_0x1057,32.08612696416667,718.5300000000001,6.0,3.0,16.083333333333332,20.0,0,0,1,1,0,1,0,0,Writer,46.0,86617.16
23,CUS_0x105b,32.8515919775,180.69999999999996,8.0,0.0,4.0,12.272727272727273,0,0,0,0,0,0,0,0,Accountant,25.0,34428.21
24,CUS_0x105c,33.31054105333333,542.91,5.0,3.0,5.75,6.0,1,0,0,0,0,1,0,0,Journalist,55.0,127617.6
